Topic,ProblemName,Difficulty,TimeComplexity,SpaceComplexity,FilePath,LeetCodeLink
1.Easy,01.Largest_element_in_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\01.Largest_element_in_array.cpp,https://leetcode.com/problems/largest-element-in-array/
1.Easy,02.Second_largest_element_in_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\02.Second_largest_element_in_array.cpp,https://leetcode.com/problems/second-largest-element-in-array/
1.Easy,03.Check_if_array_is_sorted_and_rotated.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\03.Check_if_array_is_sorted_and_rotated.cpp,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/
1.Easy,04.Remove_duplicates_from_sorted_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\04.Remove_duplicates_from_sorted_array.cpp,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
1.Easy,05.Rotate_array_left_by_1place.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\05.Rotate_array_left_by_1place.cpp,https://leetcode.com/problems/rotate-array-left-by-1place/
1.Easy,06.Rotate_array_left&right_by_k_places.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\06.Rotate_array_left&right_by_k_places.cpp,https://leetcode.com/problems/rotate-array-leftright-by-k-places/
1.Easy,07.Move_0's_to_end.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\07.Move_0's_to_end.cpp,https://leetcode.com/problems/move-0s-to-end/
1.Easy,08.Linear_search.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\08.Linear_search.cpp,https://leetcode.com/problems/linear-search/
1.Easy,09.Union_of_2_sorted_arrays.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\09.Union_of_2_sorted_arrays.cpp,https://leetcode.com/problems/union-of-2-sorted-arrays/
1.Easy,10.Missing_number.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\10.Missing_number.cpp,https://leetcode.com/problems/missing-number/
1.Easy,11.Max_consecutive_1's.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\11.Max_consecutive_1's.cpp,https://leetcode.com/problems/max-consecutive-1s/
1.Easy,12.Longest_subarray_with_given_sum.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\12.Longest_subarray_with_given_sum.cpp,https://leetcode.com/problems/longest-subarray-with-given-sum/
1.Easy,13.Find_element_present_only_once.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\1.Easy\13.Find_element_present_only_once.cpp,https://leetcode.com/problems/find-element-present-only-once/
2.Medium,01.2_sum_problem.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\01.2_sum_problem.cpp,https://leetcode.com/problems/2-sum-problem/
2.Medium,02.Sort_0_1_2.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\02.Sort_0_1_2.cpp,https://leetcode.com/problems/sort-0-1-2/
2.Medium,03.Majority_element.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\03.Majority_element.cpp,https://leetcode.com/problems/majority-element/
2.Medium,04.Kadane's_algorithm.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\04.Kadane's_algorithm.cpp,https://leetcode.com/problems/kadanes-algorithm/
2.Medium,05.Number_of_subarray_sum_equal_k.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\05.Number_of_subarray_sum_equal_k.cpp,https://leetcode.com/problems/number-of-subarray-sum-equal-k/
2.Medium,06.Stock_buy_sell.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\06.Stock_buy_sell.cpp,https://leetcode.com/problems/stock-buy-sell/
2.Medium,07.Rearange_elements_by_sign.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\07.Rearange_elements_by_sign.cpp,https://leetcode.com/problems/rearange-elements-by-sign/
2.Medium,08.Next_permutation.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\08.Next_permutation.cpp,https://leetcode.com/problems/next-permutation/
2.Medium,09.Leaders_in_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\09.Leaders_in_array.cpp,https://leetcode.com/problems/leaders-in-array/
2.Medium,10.Longest_consecutive_subsequence.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\10.Longest_consecutive_subsequence.cpp,https://leetcode.com/problems/longest-consecutive-subsequence/
2.Medium,11.Set_matrix_0's.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\11.Set_matrix_0's.cpp,https://leetcode.com/problems/set-matrix-0s/
2.Medium,12.Rotate_matrix.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\12.Rotate_matrix.cpp,https://leetcode.com/problems/rotate-matrix/
2.Medium,13.Spiral_traversal.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\2.Medium\13.Spiral_traversal.cpp,https://leetcode.com/problems/spiral-traversal/
3.Hard,**,Unknown,O(rowIndex),O(rowIndex),Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\01.Pascal_triangle.cpp,https://leetcode.com/problems//
3.Hard,02.Majority_element_2.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\02.Majority_element_2.cpp,https://leetcode.com/problems/majority-element-2/
3.Hard,03.3_sum.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\03.3_sum.cpp,https://leetcode.com/problems/3-sum/
3.Hard,04.4_sum.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\04.4_sum.cpp,https://leetcode.com/problems/4-sum/
3.Hard,05.Largest_subarray_with_0sum.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\05.Largest_subarray_with_0sum.cpp,https://leetcode.com/problems/largest-subarray-with-0sum/
3.Hard,06.Subarrays_with_xor_k.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\06.Subarrays_with_xor_k.cpp,https://leetcode.com/problems/subarrays-with-xor-k/
3.Hard,07.Merge_overlapping_subinterval.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\07.Merge_overlapping_subinterval.cpp,https://leetcode.com/problems/merge-overlapping-subinterval/
3.Hard,08.Merge_2_sorted_array_without_space.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\08.Merge_2_sorted_array_without_space.cpp,https://leetcode.com/problems/merge-2-sorted-array-without-space/
3.Hard,09.Repeating_and_missing_numbers.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\09.Repeating_and_missing_numbers.cpp,https://leetcode.com/problems/repeating-and-missing-numbers/
3.Hard,10.Count_inversions.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\10.Count_inversions.cpp,https://leetcode.com/problems/count-inversions/
3.Hard,11.Reverse_pairs.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\11.Reverse_pairs.cpp,https://leetcode.com/problems/reverse-pairs/
3.Hard,12.Maximum_product_subarray.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\12.Maximum_product_subarray.cpp,https://leetcode.com/problems/maximum-product-subarray/
3.Hard,"Given an array containing N integers and an integer K, find the length of the longest subarray with the sum of the elements equal to K.",Unknown,"The code iterates through the array once, resulting in a time complexity of O(N), where N is the size of the array.","The code uses an unordered map to store the prefix sums and their corresponding indices. In the worst case, all elements of the array could be distinct, leading to a space complexity of O(N) to store the prefix sums in the map.",Strivers-A2Z-DSA-Sheet\01.Arrays\3.Hard\13.Longest_subarray_with_sum_k_containg_+ves_and_-ves.cpp,https://leetcode.com/problems/given-an-array-containing-n-integers-and-an-integer-k-find-the-length-of-the-longest-subarray-with-the-sum-of-the-elements-equal-to-k/
1D Arrays,01.Find_x_in_sorted_array.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\01.Find_x_in_sorted_array.cpp,https://leetcode.com/problems/find-x-in-sorted-array/
1D Arrays,02.Implement_lower_bound.cpp,Unknown,Unknown,Unknown,Strivers-A2Z-DSA-Sheet\02.Binary Search\1D Arrays\02.Implement_lower_bound.cpp,https://leetcode.com/problems/implement-lower-bound/
